type	file_id	file_name	file_type	file_description	file_size	md5sum	file_url_in_cds	experimental_strategy_and_data_subtypes	submission_version	checksum_value	checksum_algorithm	file_mapping_level	release_datetime	is_supplementary_file	crdc_id	entityid
file	dg.4DFC/d823329c-c80b-5cd7-afb3-6890c6c37a7d	HTA8_6007_001103000.ome.tif	TIFF		58578461972	17c3b4b9f0a16355404b4d6477dab0c7		Pathological								syn61375137
file	dg.4DFC/013bd880-cd63-58c3-ad79-549d316a41ae	HTA8_6007_003103000.ome.tif	TIFF		58578461971	cf745465fccad636e5aa41d445557019		Pathological								syn63384995
file	dg.4DFC/c6030560-164d-5e2d-a483-195f5f51d43e	HTA8_6015_001103000.ome.tif	TIFF		58578461971	7c4b9b26de73881707a0ab32a789b2f5		Pathological								syn63386770
file	dg.4DFC/ca363f4f-840a-51b5-9ec8-13d12db97043	HTA8_6015_003102000.ome.tif	TIFF		58578461972	fafaec79c0ea8eea50b351b58c8b4bbb		Pathological								syn63386516
file	dg.4DFC/05957dab-892a-571d-bbff-505885aaec73	HTA8_6017_002103000.ome.tif	TIFF		58684464623	ef6a504ac5c5f8553121dee091393381		Pathological								syn63385172
file	dg.4DFC/ce19cd2c-292c-5c21-a387-3fc67ced1fed	HTA8_6018_001102000.ome.tif	TIFF		58578461971	971df56c86249ce21c452876e05496e4		Pathological								syn63386543
file	dg.4DFC/080db09e-cf83-5fb1-a687-08b773e479a8	HTA8_6018_003102000.ome.tif	TIFF		58578461971	03c15c9cbeebe66aa4cf5991eaaedeb2		Pathological								syn63386515
file	dg.4DFC/eed0fa4f-63aa-5174-96ef-d7dbafee1b4b	HTA8_6022_005101000.ome.tif	TIFF		58578461971	84288f3030a7a0ef25f74308f8de096e		Pathological								syn61377578
file	dg.4DFC/4a967dce-381d-5e30-ab7c-aeb12bae3453	HTA8_6023_003102000.ome.tif	TIFF		58578461692	2425a20416b704604a4b0ed145826bde		Pathological								syn61377992
file	dg.4DFC/a3123365-4c65-58d2-a252-22ffdaed314f	HTA8_6023_004103000.ome.tif	TIFF		58578461971	c0c1ad04859938a25165fbd7234133b7		Pathological								syn63386396
