type	file_id	file_name	file_type	file_description	file_size	md5sum	file_url_in_cds	experimental_strategy_and_data_subtypes	submission_version	checksum_value	checksum_algorithm	file_mapping_level	release_datetime	is_supplementary_file	crdc_id	synapse_id
file	dg.4DFC/b8450cd2-3afe-5eef-aac4-2a06c1983024	LSP11064.ome.tif	OME-TIFF		133379748627	0984824f0d5c825f268e92ed7b253da9		Pathological								syn68348965
file	dg.4DFC/3f0dafb4-c8d4-5064-837e-5bd50f585c24	LSP16136.ome.tif	OME-TIFF		150385650917	fb1bcdcde491e6f68f26614e4eb1defa		Pathological								syn68349215
file	dg.4DFC/c23fd789-c625-5ca2-8764-c14b4477aa10	LSP17726.ome.tif	OME-TIFF		115706946979	56621fa666ce98e49687776a40042292		Pathological								syn68349309
file	dg.4DFC/2e1ae366-e976-5aed-83db-7276d47b1486	LSP18301.ome.tif	OME-TIFF		125488120707	68ac268a124d6687f1f17eeb01cb9ca1		Pathological								syn68349599
file	dg.4DFC/00dfd7e5-dd3b-5e72-a0ab-4e77fdfc28df	LSP17762.ome.tif	OME-TIFF		125060289599	fa43859b04156d3470acd4b250eee27f		Pathological								syn68349403
file	dg.4DFC/4f66678f-e361-58cf-9290-b8ecb53fc823	LSP16147.ome.tif	OME-TIFF		171170643957	cfe7db757bb3a664835921c6c066d12a		Pathological								syn68349253
file	dg.4DFC/ca363f4f-840a-51b5-9ec8-13d12db97043	HTA8_6015_003102000.ome.tif	TIFF		58578461972	fafaec79c0ea8eea50b351b58c8b4bbb		Pathological								syn63386516
file	dg.4DFC/ce19cd2c-292c-5c21-a387-3fc67ced1fed	HTA8_6018_001102000.ome.tif	TIFF		58578461971	971df56c86249ce21c452876e05496e4		Pathological								syn63386543
file	dg.4DFC/acc1f3f8-5053-5903-93ac-44a323518a4b	LSP16138.ome.tif	OME-TIFF		183841708421	a12f3fd612df7a10caf02be64e06a84a		Pathological								syn68349234
file	dg.4DFC/71ba6983-9a55-5d98-a319-7f350545fac0	LSP17802.ome.tif	OME-TIFF		107488151871	f86a599c7d02539936ef4397dacc0468		Pathological								syn68349446
file	dg.4DFC/4a967dce-381d-5e30-ab7c-aeb12bae3453	HTA8_6023_003102000.ome.tif	TIFF		58578461692	2425a20416b704604a4b0ed145826bde		Pathological								syn61377992
file	dg.4DFC/997a73e8-cdd6-562a-9412-06035f70dd9a	LSP19412.ome.tif	OME-TIFF		181062966707	fe58d0b86b9c73426c01a967e61da358		Pathological								syn68349665
file	dg.4DFC/8b80031f-b228-5418-aa7b-d692b30e9210	LSP16159.ome.tif	OME-TIFF		111594408197	1b89e208fbc464bd8f4cd477d99a200f		Pathological								syn68349280
file	dg.4DFC/d2d0152f-a50c-5bcd-a5a5-36ea6955b8d8	LSP11068.ome.tif	OME-TIFF		105036561251	d1a781875f384868258d0617dba80fef		Pathological								syn68348953
file	dg.4DFC/f8e7fa78-07ef-5607-9600-463ed5c88e45	LSP15339.ome.tif	OME-TIFF		151052549493	1ec7c394bb6a63d9faf73cbfaed2e714		Pathological								syn68349176
file	dg.4DFC/a5a6de90-3639-5ca8-8a65-34a0c81dc54a	LSP19420.ome.tif	OME-TIFF		176283530163	d70807ea2866e99e5ac46c123b7d5687		Pathological								syn68349682
file	dg.4DFC/7c8819b6-815c-5b57-a821-0b17f2fe1f53	LSP19416.ome.tif	OME-TIFF		141271376547	32672fae28b6c9ae078533bb0b0f80cf		Pathological								syn68349664
file	dg.4DFC/a3123365-4c65-58d2-a252-22ffdaed314f	HTA8_6023_004103000.ome.tif	TIFF		58578461971	c0c1ad04859938a25165fbd7234133b7		Pathological								syn63386396
file	dg.4DFC/eed0fa4f-63aa-5174-96ef-d7dbafee1b4b	HTA8_6022_005101000.ome.tif	TIFF		58578461971	84288f3030a7a0ef25f74308f8de096e		Pathological								syn61377578
file	dg.4DFC/9587c8cf-fe4e-5530-9a84-f6c95cbafce8	LSP17734.ome.tif	OME-TIFF		71727312127	9b5522d937ce00bce01e25908d2a0391		Pathological								syn68349335
file	dg.4DFC/05957dab-892a-571d-bbff-505885aaec73	HTA8_6017_002103000.ome.tif	TIFF		58684464623	ef6a504ac5c5f8553121dee091393381		Pathological								syn63385172
