type	 study.study_id	 participant.study_participant_id	 sample.sample_id	file_name	file_type	file_description	file_size	md5sum	experimental_strategy_and_data_subtypes	submission_version	checksum_value	checksum_algorithm	file_mapping_level	release_datetime	is_supplementary_file	entityid
file				0000265770_S1_R1_001.fastq.gz			5922226903	fffd2ccf0b13429c7eb29e047971fa3a								syn68527411
file				0000265770_S1_R2_001.fastq.gz			6071072710	3490397151b6e75aa798e397e909f217								syn68527423
file				0000303169_S1_R1_001.fastq.gz			5813919946	8522e1fde70516357f38f4577e1bd5ff								syn68527427
file				0000303169_S1_R2_001.fastq.gz			5952061358	02f102dd39bfe63f2feb39ff5b820092								syn68527434
file				0000319997_S1_R1_001.fastq.gz			6458618664	1b22bc41dc004b93e63aabde1b721267								syn68527442
file				0000319997_S1_R2_001.fastq.gz			6616353653	0e12a41cf63afd732025adede93e97ef								syn68527459
file				0000320079_S1_R1_001.fastq.gz			3982159332	2b1d743eb85968b1ed2f7cb327290746								syn68527460
file				0000320079_S1_R2_001.fastq.gz			4007555718	d1368fcec559133d5a2bf4ac2110fe88								syn68527463
file				0000320114_S1_R1_001.fastq.gz			6424491170	20d67c2feaa9e84679ce59b5ac6d29bb								syn68527479
file				0000320114_S1_R2_001.fastq.gz			6555972249	f37e93682a4fdc72dd51838dabe3660b								syn68527496
file				0000320245_S1_R1_001.fastq.gz			5648322967	4ba64faf79609927cad67fbd5701bf56								syn68527506
file				0000320245_S1_R2_001.fastq.gz			5790981318	8ea30b7c57b2729efdd86ce665aa0eee								syn68527519
file				0000321912_S1_R1_001.fastq.gz			4702840442	bec44530fc92aeb6eee9e6c3a1f5fdb7								syn68527534
file				0000321912_S1_R2_001.fastq.gz			4757388854	4ff4546e9a75c833ba09edbb2b9e8c34								syn68527540
file				0000321972_S1_R1_001.fastq.gz			6174330344	f9605122fafed56e6ccfdd9e22b3d97f								syn68527551
file				0000321972_S1_R2_001.fastq.gz			6266330747	2902a2d8aad0184678ab25d6e6549b25								syn68527562
file				0000321988_S2_R1_001.fastq.gz			5546130375	77ae9639a5f7d8335543884152840a01								syn68527569
file				0000321988_S2_R2_001.fastq.gz			5608886706	1cedb134bc090b044fc78e9da1d8f985								syn68527579
file				0000321995_S3_R1_001.fastq.gz			5454951268	b37706b40b97d4803a1bbaaeac093b52								syn68527596
file				0000321995_S3_R2_001.fastq.gz			5535999399	45a55f4b4741a824020f80715597dc4d								syn68527615
file				0000322035_S2_R1_001.fastq.gz			5766669292	3433a63aa79f7681984fc00204490365								syn68527642
file				0000322035_S2_R2_001.fastq.gz			5844048948	3e5af00f54391716e766b288c51ec792								syn68527647
file				0000322041_S1_R1_001.fastq.gz			4556182848	d53927bf59483da8a61625a67ae6d1fd								syn68527652
file				0000322041_S1_R2_001.fastq.gz			4610780587	c78d697f588230012d8fce354c2d4571								syn68527668
file				0000340456_S1_R1_001.fastq.gz			7787220225	0837a08f1043879de0f06e4aeaf40107								syn68527678
file				0000340456_S1_R2_001.fastq.gz			7932005517	f3ee6ced0d553581dff79c95a62ecfb0								syn68527708
file				0000340463_S2_R1_001.fastq.gz			3725874509	294da98e74440758ac9a0c5bb4d95a10								syn68527713
file				0000340463_S2_R2_001.fastq.gz			3855395062	96cc9f65e32a61d7f068172523109911								syn68527726
file				0000340469_S1_R1_001.fastq.gz			4423994805	e1e310c50a77dfb83d29cfe103c777c7								syn68527742
file				0000340469_S1_R2_001.fastq.gz			4501887134	e250e52d5aba542e618fafad1b7acee2								syn68527763
file				0000346152_S1_R1_001.fastq.gz			4227149642	cd750982bb886157fea0592f201c0e5d								syn68527776
file				0000346152_S1_R2_001.fastq.gz			4356259081	dd837177e25b59204a859e2e6842d284								syn68527779
file				0000366871_R1.fastq.gz			9745011604	11e9d124ddd5734a66dc39d3ba1167e4								syn68527808
file				0000366871_R2.fastq.gz			9726628324	dcc0adf58eb07f93dffbfb34e2b70ede								syn68527842
file				0000367988_R1.fastq.gz			4941818689	bfd88bc5a506ddd8ef8bb8c24ab9d827								syn68527844
file				0000367988_R2.fastq.gz			4949883766	ec34cedb95cfa9b0a1b8a8523aef0df9								syn68527852
file				0000368070_S1_R1_001.fastq.gz			5268434634	5d7fedd6eca8eb60bf792e5c3ac5770a								syn68527868
file				0000368070_S1_R2_001.fastq.gz			5327774225	bc3fca123a16b15b3c8c883d8c4d9d66								syn68527880
file				0000368112_S1_R1_001.fastq.gz			5385924446	2359616beca57d545a0d3c3f45a2522c								syn68527899
file				0000368112_S1_R2_001.fastq.gz			5453800444	a44ea4189cf7e2e7051057511f45861c								syn68527920
file				0000382610_R1.fastq.gz			6731871035	cebea255d62599c8c501e4aa2e7e67ee								syn68527948
file				0000382610_R2.fastq.gz			6861201564	285df3de07891e72d1776528ae6a7542								syn68527977
file				0000382748_S1_R1_001.fastq.gz			6375432342	ef974176e360abafe32e5388ffcc209c								syn68527999
file				0000382748_S1_R2_001.fastq.gz			6495815193	ed426a866ba210c4993ad2475edfcf06								syn68528004
file				0000382837_S2_R1_001.fastq.gz			5920068415	c53b22bb9d6e7c4f67258bef7a3cb41c								syn68528016
file				0000382837_S2_R2_001.fastq.gz			6027992234	1dd699a09347143e2601bbccf0c9d216								syn68528026
file				0000382886_S3_R1_001.fastq.gz			5186903072	c06dc3598b9a0144dfaa30bf9f084504								syn68528030
file				0000382886_S3_R2_001.fastq.gz			5326094493	79964fdbd2dbc76fea5c9fa694727a69								syn68528036
file				0000394763_S1_R1_001.fastq.gz			4655532928	0c52cecd6f8a9ca7d22f8aa64fa7c460								syn68528045
file				0000394763_S1_R2_001.fastq.gz			4805374986	0ffe46b531790cedc7d12d895d5db370								syn68528053
file				0000394880_R1.fastq.gz			1998830655	084dcca81122ffd6cad0fe9c352223f4								syn68528050
file				0000394880_R2.fastq.gz			2021457394	38d158ecf9f3b2945543daa8b130ff0e								syn68528055
file				0000399183_R1.fastq.gz			5400099950	9a1776d9b4b3f80ca536ee9fea77599d								syn68528076
file				0000399183_R2.fastq.gz			5603678760	66a3e58d9460014cbe958c320447c2da								syn68528084
file				0000404813_R1.fastq.gz			6389625455	4677ed02c3bfccfe96a11f9ccbc7e2f9								syn68528095
file				0000404813_R2.fastq.gz			6405528753	1a46da6b865d049c7d54caec75e8b616								syn68528116
file				0000424110_R1.fastq.gz			5480634399	10361293b3315578e7dc8efbabbc9535								syn68528152
file				0000424110_R2.fastq.gz			5788900579	7871d1ca96b24113b41cd00ed9029b32								syn68528165
file				0000424126_R1.fastq.gz			5772066893	9149a27c6cb211ca2324f9a14a8f5cb1								syn68528173
file				0000424126_R2.fastq.gz			5760616427	dd39b422642615d2885271afe62dc320								syn68528186
file				0000434093_R1.fastq.gz			7481144395	ca644156d33e85e1abe827a6bc267052								syn68528203
file				0000434093_R2.fastq.gz			7543454973	1d572643e6cb8cedf0aa1f507748576a								syn68528215
file				0000434105_R1.fastq.gz			5412002331	0d47e7ba10e53f89208f23232bb246c7								syn68528226
file				0000434105_R2.fastq.gz			5439058267	93e80f72285d87865cb4733c18d28444								syn68528233
file				0000434568_R1.fastq.gz			4504572709	db2ad961be8fcde28a75f4de9fa00d87								syn68528243
file				0000434568_R2.fastq.gz			4745589910	9cb8b257e6dd1631e71e281ad382afbb								syn68528251
file				0000446970_R1.fastq.gz			8823748773	f7edf378d6add1510d4015b6076a98d3								syn68528267
file				0000446970_R2.fastq.gz			9001434485	1f7be9b31a4c0992586de8632bda5b8a								syn68528276
file				0000447031_R1.fastq.gz			6394133652	ea216ffdaa7a9c13311ba691b62fb8ca								syn68528278
file				0000447031_R2.fastq.gz			6616626841	d5af475af7966aa25451d57f309f463f								syn68528288
file				0000447063_R1.fastq.gz			3862996594	7273c92e5974cafad0dd5c226067403c								syn68528289
file				0000447063_R2.fastq.gz			3935378985	a81e9ed7574d037b3e00fae84784bd16								syn68528292
