checksum_algorithm	checksum_value	entityid	experimental_strategy_and_data_subtypes	file_description	file_mapping_level	file_name	file_size	file_type	is_supplementary_file	md5sum	participant.study_participant_id	release_datetime	sample.sample_id	study.study_id	submission_version	type
		syn68527462				DUPLICATE_FILENAME_1/0000319997_S1_R1_001.fastq.gz	2798791532			f8ec46126654ee70dc48b03c73dda104						
		syn68527492				DUPLICATE_FILENAME_1/0000320114_S1_R2_001.fastq.gz	2352885302			5e353cc3ecffd1a3d1bd03ea26d32d08						
		syn68527537				DUPLICATE_FILENAME_1/0000321912_S1_R2_001.fastq.gz	2548485570			c36962e573b20039ddd2152fe350678a						
		syn68527639				DUPLICATE_FILENAME_1/0000340456_S1_R1_001.fastq.gz	2001942799			9151df1b4044fa7df13d5fcdb06b1079						
		syn68527730				DUPLICATE_FILENAME_1/0000368112_S1_R1_001.fastq.gz	2375728373			3f800a692d81c92b106dd0d8ccc159d0						
		syn68527778				DUPLICATE_FILENAME_1/0000382610_R2.fastq.gz	2325177053			3037337c532886e849c372dff2f73bc5						
		syn68527955				DUPLICATE_FILENAME_1/0000434093_R2.fastq.gz	2487545440			9a0ab5a3acb2c999f32533077a9e5a14						
		syn68528012				DUPLICATE_FILENAME_1/0000447031_R1.fastq.gz	929586984			ac466b32e6daaf96ecd82783580ec933						
		syn68528078				DUPLICATE_FILENAME_1/0000319997.bam	14350872150			4c6e34f9ee64670ba72ffcdcb3ad48e4						
		syn68528266				DUPLICATE_FILENAME_2/0000340456.bam	1942377422			387ad15ce9e21eec14d05d9e72ec0572						
		syn68528316				DUPLICATE_FILENAME_1/0000434105.bam	965484727			6a297d09c577f0d9b5465d9a1c114908						
		syn68528319				DUPLICATE_FILENAME_1/0000446970.bam	582298215			e09f90b26d01fbf8a43dc2aa81415c2a						
		syn68528320				DUPLICATE_FILENAME_1/0000447031.bam	821390963			7d4ae484412d5112a147bb5e24d4dad9						
		syn68528322				DUPLICATE_FILENAME_1/0000447194.bam	1197188450			5521c9f80f38e2a177eb11dffc5cf6c8						
