type	study.study_id	sample.sample_id	file_name	file_type	file_size	md5sum	experimental_strategy_and_data_subtypes	entityid	file_description	file_url_in_cds	submission_version	checksum_value	checksum_algorithm	crdc_id	file_mapping_level	release_datetime	is_supplementary_file
file	phs002371_HTAN	HTA11_999999003_1	S003.ome.tif	OME-TIFF	55847611	245201091a4243d6f4a84a9bf27da488	Pathological	syn68383000									
file	phs002371_HTAN	HTA11_999999012_1	S012.ome.tif	OME-TIFF	203758657	1586ee501680cd79dbeb3ec6d1aec8e0	Pathological	syn68383004									
file	phs002371_HTAN	HTA11_999999026_1	S026.ome.tif	OME-TIFF	195768720	a5d253c374c4e183eb0c6b0c0d58fa1b	Pathological	syn68383006									
file	phs002371_HTAN	HTA11_999999040_1	S040.ome.tif	OME-TIFF	182683961	0339494078a65937092b453a9b21d71b	Pathological	syn68383007									
file	phs002371_HTAN	HTA11_999999043_1	S043.ome.tif	OME-TIFF	339505790	b842e80168a403ca7ccfa19ec0efa962	Pathological	syn68383008									
file	phs002371_HTAN	HTA11_999999053_1	S053.ome.tif	OME-TIFF	72927173	a9ef0c25a1255b91cc6dc2ef579b874f	Pathological	syn68383009									
file	phs002371_HTAN	HTA11_999999058_1	S058.ome.tif	OME-TIFF	480153459	d9dc48c3864888a097e91d2412a8498e	Pathological	syn68383011									
file	phs002371_HTAN	HTA11_999999060_1	S060.ome.tif	OME-TIFF	264401148	071ca4fc4ceb7e11b080660f98577255	Pathological	syn68383013									
file	phs002371_HTAN	HTA11_999999062_1	S062.ome.tif	OME-TIFF	363677457	a00da7a4b1478406bf40b7e96577c9ed	Pathological	syn68383014									
file	phs002371_HTAN	HTA11_999999074_1	S074.ome.tif	OME-TIFF	188580688	a3248ef6709c9bce7b69cc9de1d80ed6	Pathological	syn68383016									
file	phs002371_HTAN	HTA11_999999078_1	S078.ome.tif	OME-TIFF	649985159	fdbb8f8b9b66a4abec0552beae9f93c5	Pathological	syn68383019									
file	phs002371_HTAN	HTA11_999999091_1	S091.ome.tif	OME-TIFF	124123888	4b464513d4b27e5d66b0da48d191da58	Pathological	syn68383021									
file	phs002371_HTAN	HTA11_999999094_1	S094.ome.tif	OME-TIFF	465513303	6e1592a15f84b0bd8ca664c9e3dc1f18	Pathological	syn68383022									
file	phs002371_HTAN	HTA11_999999096_1	S096.ome.tif	OME-TIFF	109418095	f8fbd87491b4d870469e9444c22807a3	Pathological	syn68383023									
file	phs002371_HTAN	HTA11_999999099_1	S099.ome.tif	OME-TIFF	63450327	62e5df959b4df766cb32a74aa9996526	Pathological	syn68383024									
file	phs002371_HTAN	HTA11_999999100_1	S100.ome.tif	OME-TIFF	314358910	f196ed5b8fca09947e8eb1eebbc26168	Pathological	syn68383025									
file	phs002371_HTAN	HTA11_999999106_1	S106.ome.tif	OME-TIFF	179192238	6d5071dfe37e4c24cd29044af17029b2	Pathological	syn68383027									
file	phs002371_HTAN	HTA11_999999109_1	S109.ome.tif	OME-TIFF	150285151	174ef9f0da2033fa800bca460a9a44a1	Pathological	syn68383030									
