type	study.study_id	sample.sample_id	file_name	file_type	file_size	md5sum	experimental_strategy_and_data_subtypes	entityid	file_description	file_url_in_cds	submission_version	checksum_value	checksum_algorithm	crdc_id	file_mapping_level	release_datetime	is_supplementary_file
file	phs002371_HTAN	HTA3_70142_1014201	142_RMB_GS1_PCGA02_20142_1014201.ndpi	SVS	21754371	73dbf3b21cc4ee48ea7b9ae25d5805ec	Pathological	syn68493552									
file	phs002371_HTAN	HTA3_50417_6902835	PCGA02_10417_1002835_deid.svs	SVS	58920935	2ff662687a64edc0f755bb9a7a7ca6d9	Pathological	syn53640611									
file	phs002371_HTAN	HTA3_50401_6901815	PCGA02_10401_1001815_deid.svs	SVS	107569477	266f3dd4c283eddc624252eac65d21a9	Pathological	syn53640529									
file	phs002371_HTAN	HTA3_50306_6901563	PCGA02_10306_1001563_deid.svs	SVS	125383565	56a03b0d36e1776095ecdfcb956f54a3	Pathological	syn53640733									
file	phs002371_HTAN	HTA3_50306_6901509	PCGA02_10306_1001509_deid.svs	SVS	655956027	2cf10aecd9f79bc394209da5942252b1	Pathological	syn53640730									
file	phs002371_HTAN	HTA3_50306_6901506	PCGA02_10306_1001506_deid.svs	SVS	116137557	c0d38d3586c1bb2425afbd240fe3ea48	Pathological	syn53640727									
file	phs002371_HTAN	HTA3_50306_6901385	PCGA02_10306_1001385_deid.svs	SVS	196973817	86aad35f64d0058064384af1ae8a09ec	Pathological	syn53640722									
file	phs002371_HTAN	HTA3_50305_6901554	PCGA02_10305_1001554_deid.svs	SVS	149962899	c60ff919dd43d8a9eb0a283279d2c68a	Pathological	syn53640720									
file	phs002371_HTAN	HTA3_50857_6911051	HTA3_50857_6911051_deid.svs	SVS	351686319	def29de07bbd5212b021bb2aec2c221c	Pathological	syn58926321									
file	phs002371_HTAN	HTA3_50805_6912049	HTA3_50805_6912049_deid.svs	SVS	399799097	4d11257921a05ed7b77879937558d2b7	Pathological	syn58925748									
file	phs002371_HTAN	HTA3_50734_1525031	50734_A4_deid.svs	SVS	373727565	e66bdb8aa27b7e24cae90b29b34bfbf7	Pathological	syn58924488									
file	phs002371_HTAN	HTA3_50730_1523031	50730_H5_deid.svs	SVS	914199757	f09440e003b54b405cdf134018c8a7cd	Pathological	syn58924463									
file	phs002371_HTAN	HTA3_50719_1570001	50719_E4_deid.svs	SVS	898154361	abcccbda5188e5c88f1d5fea6c086fb7	Pathological	syn58924341									
file	phs002371_HTAN	HTA3_50718_1516016	50718_A4_deid.svs	SVS	631221425	a1c63f52bc9596d95fc6799f89661baf	Pathological	syn58924330									
file	phs002371_HTAN	HTA3_80030_1906000	SD14513_J5_CleanHEScan1.qptiff	TIFF	586866286	cf0b74684bfefc22b7eaddb8d6a00a1d	Pathological	syn61625053									
file	phs002371_HTAN	HTA3_80002_1901000	SD03621_B1_CleanHEScan1.qptiff	TIFF	268160733	96ec7137a58f0bb74c867ddb86279b3e	Pathological	syn61624791									
file	phs002371_HTAN	HTA3_80020_1907000	SD03161_C5_CleanHEScan1.qptiff	TIFF	867944802	4cd6cf2b6db3d6e5037d82eb078a9f7e	Pathological	syn61624773									
file	phs002371_HTAN	HTA3_80027_1904000	SD01094_B7_CleanHEScan1.qptiff	TIFF	899053571	02078eee9120ae10dd79a96a1d9816ee	Pathological	syn61624713									
file	phs002371_HTAN	HTA3_80026_1907000	SD00971_A14_CleanHEScan1.qptiff	TIFF	1245309503	ff59418a7825767efd02a53dba3625e1	Pathological	syn61624663									
file	phs002371_HTAN	HTA3_50804_6950063	50804_C3_AN_deid.svs	SVS	420455995	0ae5cb1e9485fbb1b3ecc9a5b2465905	Pathological	syn53640800									
file	phs002371_HTAN	HTA3_80032_1903000	SD10088_D10_CleanHE_40X_deid.svs	SVS	1869352991	9dc401ed9876ffa1c1a3fc387f60adde	Pathological	syn64613245									
file	phs002371_HTAN	HTA3_80017_1903000	138702_deid.svs	SVS	958242739	47eb2c020ebb8161d3e55ab94fa2b86d	Pathological	syn53640662									
file	phs002371_HTAN	HTA3_80015_1903000	138694_deid.svs	SVS	720924531	6fca92437bf0726de1333acd38db4027	Pathological	syn53640653									
file	phs002371_HTAN	HTA3_80016_1901000	138695_deid.svs	SVS	450669361	c547a5238f85ca55a1e13e37ed85ce5e	Pathological	syn53640654									
file	phs002371_HTAN	HTA3_80016_1904000	138698_deid.svs	SVS	1177807859	bee116ed33e37f43aa9173d0d8452ec7	Pathological	syn53640658									
file	phs002371_HTAN	HTA3_80054_1902000	SD00816_F4-1_CleanHE_40X_deid.svs	SVS	2694715467	f47c8a89dce4b0e820a07247d5d5ac81	Pathological	syn64613265									
file	phs002371_HTAN	HTA3_80026_1906000	SD00971_A12_CleanHE_40X_deid.svs	SVS	2711543443	8f782977d67c3a7beeb3e3fb519a4bd4	Pathological	syn64613106									
file	phs002371_HTAN	HTA3_80013_1904000	SD03844_G14_CleanHE_40X_deid.svs	SVS	3103339879	6fc43ffc402e4bd0bb7f2fbde3f160ae	Pathological	syn64613145									
file	phs002371_HTAN	HTA3_80010_1906000	SD04139_A8_CleanHE_40X_deid.svs	SVS	2293065423	7efb35eb23aec4d3c6285193e574928c	Pathological	syn64613120									
file	phs002371_HTAN	HTA3_80017_1903000	SD12988_F5_CleanHE_40X_deid.svs	SVS	2706923525	d95ca02082f71cdbc3bc74132d70105c	Pathological	syn64613128									
file	phs002371_HTAN	HTA3_80018_1902000	SD18289_A4_CleanHE_40X_deid.svs	SVS	3469993663	5a8048ded207e83221f735a38cd9254c	Pathological	syn64613210									
file	phs002371_HTAN	HTA3_80016_1901000	SD19462_A3_CleanHE_40X_deid.svs	SVS	1436993435	657b499750c21930604304e263dab6eb	Pathological	syn64613248									
file	phs002371_HTAN	HTA3_80051_1903000	SD26011_A11-1_CleanHE_40X_deid.svs	SVS	1949508755	47d94fd3e48e2ec763ba57ee54313854	Pathological	syn64613226									
file	phs002371_HTAN	HTA3_80052_1901000	SD29283_D3-1_CleanHE_40X_deid.svs	SVS	1619461499	e20972d35c9abc9a05bd489fce4cb0b1	Pathological	syn64613267									
file	phs002371_HTAN	HTA3_80048_1901000	SD12826_F5-1_CleanHE_40X_deid.svs	SVS	2087066339	7a777e1c08e6a98c06e37349902d7a4a	Pathological	syn64613109									
file	phs002371_HTAN	HTA3_80050_1903000	SD25134_C14-1_CleanHE_40X_deid.svs	SVS	1708133575	1f00eb58b9453a4cbd3931a7df274896	Pathological	syn64613204									
file	phs002371_HTAN	HTA3_80208_1903000	SD02760_B13-1_CleanHE_40X_deid.svs	SVS	3081715223	63e875d7b3145bb3c7cd1e97b49a7e3e	Pathological	syn64613213									
file	phs002371_HTAN	HTA3_0005_1900728	PCGA-01-0005-050-17489-00728BX_deid.svs	SVS	232002809	a032c21e7c5edad2baed041166becc92	Pathological	syn64612915									
file	phs002371_HTAN	HTA3_0049_1101344	PCGA-01-0049-050-23272-01344BX.svs	SVS	1089172871	b039de7c8e91edbc34050fbc2e0dc68d	Pathological	syn64555829									
file	phs002371_HTAN	HTA3_0001_1100897	PCGA-01-0001-029-19762-00897BX.svs	SVS	85374655	e369cac0b927b379f73f2fc3b4d3a323	Pathological	syn64555819									
