type	study.phs_accession	sample.sample_id	file_id	file_name	file_type	file_size	md5sum	experimental_strategy_and_data_subtypes	entityId	file_description	file_url_in_cds	submission_version	checksum_value	checksum_algorithm	crdc_id	file_mapping_level	release_datetime	is_supplementary_file
file	phs002371	HTA9_27_22		0000265770_S1_R1_001.fastq.gz	FASTQ	5922226903	fffd2ccf0b13429c7eb29e047971fa3a	WXS; RNA-Seq	syn68527411									
file	phs002371	HTA9_27_22		0000265770_S1_R2_001.fastq.gz	FASTQ	6071072710	3490397151b6e75aa798e397e909f217	WXS; RNA-Seq	syn68527423									
file	phs002371	HTA9_27_21		0000303169_S1_R1_001.fastq.gz	FASTQ	5813919946	8522e1fde70516357f38f4577e1bd5ff	WXS; RNA-Seq	syn68527427									
file	phs002371	HTA9_27_21		0000303169_S1_R2_001.fastq.gz	FASTQ	5952061358	02f102dd39bfe63f2feb39ff5b820092	WXS; RNA-Seq	syn68527434									
file	phs002371	HTA9_32_2		0000319997_S1_R1_001.fastq.gz	FASTQ	6458618664	1b22bc41dc004b93e63aabde1b721267	WXS; RNA-Seq	syn68527442									
file	phs002371	HTA9_32_2		0000319997_S1_R2_001.fastq.gz	FASTQ	6616353653	0e12a41cf63afd732025adede93e97ef	WXS; RNA-Seq	syn68527459									
file	phs002371	HTA9_30_1		0000320079_S1_R1_001.fastq.gz	FASTQ	3982159332	2b1d743eb85968b1ed2f7cb327290746	WXS; RNA-Seq	syn68527460									
file	phs002371	HTA9_30_1		0000320079_S1_R2_001.fastq.gz	FASTQ	4007555718	d1368fcec559133d5a2bf4ac2110fe88	WXS; RNA-Seq	syn68527463									
file	phs002371	HTA9_30_2		0000320114_S1_R1_001.fastq.gz	FASTQ	6424491170	20d67c2feaa9e84679ce59b5ac6d29bb	WXS; RNA-Seq	syn68527479									
file	phs002371	HTA9_30_2		0000320114_S1_R2_001.fastq.gz	FASTQ	6555972249	f37e93682a4fdc72dd51838dabe3660b	WXS; RNA-Seq	syn68527496									
file	phs002371	HTA9_34_4		0000320245_S1_R1_001.fastq.gz	FASTQ	5648322967	4ba64faf79609927cad67fbd5701bf56	WXS; RNA-Seq	syn68527506									
file	phs002371	HTA9_34_4		0000320245_S1_R2_001.fastq.gz	FASTQ	5790981318	8ea30b7c57b2729efdd86ce665aa0eee	WXS; RNA-Seq	syn68527519									
file	phs002371	HTA9_32_1		0000321912_S1_R1_001.fastq.gz	FASTQ	4702840442	bec44530fc92aeb6eee9e6c3a1f5fdb7	WXS; RNA-Seq	syn68527534									
file	phs002371	HTA9_32_1		0000321912_S1_R2_001.fastq.gz	FASTQ	4757388854	4ff4546e9a75c833ba09edbb2b9e8c34	WXS; RNA-Seq	syn68527540									
file	phs002371	HTA9_25_20		0000321972_S1_R1_001.fastq.gz	FASTQ	6174330344	f9605122fafed56e6ccfdd9e22b3d97f	WXS; RNA-Seq	syn68527551									
file	phs002371	HTA9_25_20		0000321972_S1_R2_001.fastq.gz	FASTQ	6266330747	2902a2d8aad0184678ab25d6e6549b25	WXS; RNA-Seq	syn68527562									
file	phs002371	HTA9_25_23		0000321988_S2_R1_001.fastq.gz	FASTQ	5546130375	77ae9639a5f7d8335543884152840a01	WXS; RNA-Seq	syn68527569									
